"","x"
"365","TCGA-E3-A3E1-01A"
"366","TCGA-DJ-A3UZ-01A"
"367","TCGA-ET-A3BW-01A"
"368","TCGA-E8-A436-01A"
"369","TCGA-E3-A3DY-01A"
"370","TCGA-FE-A230-01A"
"371","TCGA-DJ-A1QI-01A"
"372","TCGA-EL-A3ZM-01A"
"373","TCGA-KS-A4ID-01A"
"374","TCGA-GE-A2C6-01A"
"375","TCGA-J8-A3O2-01A"
"376","TCGA-EL-A3ZG-01A"
"377","TCGA-ET-A25P-01A"
"378","TCGA-MK-A4N7-01A"
"379","TCGA-E8-A413-01A"
"380","TCGA-EL-A3CO-01A"
"381","TCGA-DJ-A3V8-01A"
"382","TCGA-EL-A3CZ-01A"
"383","TCGA-EM-A2CK-01A"
"384","TCGA-E3-A3DZ-01A"
"385","TCGA-ET-A40T-01A"
"386","TCGA-EL-A3CW-01A"
"387","TCGA-ET-A40Q-01A"
"388","TCGA-DJ-A3VI-01A"
"389","TCGA-DJ-A3VB-01A"
"390","TCGA-BJ-A4O9-01A"
"391","TCGA-ET-A3DW-01A"
"392","TCGA-BJ-A28T-01A"
"393","TCGA-DJ-A1QE-01A"
"394","TCGA-DE-A4MC-01A"
"395","TCGA-ET-A3BU-01A"
"396","TCGA-BJ-A28V-01A"
"397","TCGA-BJ-A28S-01A"
"398","TCGA-EM-A22O-01A"
"399","TCGA-EM-A22M-01A"
"400","TCGA-EL-A3T7-01A"
"401","TCGA-EL-A3D5-01A"
"402","TCGA-ET-A25G-01A"
"403","TCGA-E3-A3E0-01A"
"404","TCGA-FE-A3PA-01A"
"405","TCGA-DE-A69J-01A"
"406","TCGA-DJ-A3US-01A"
"407","TCGA-EL-A3ZH-01A"
"408","TCGA-EL-A3ZQ-01A"
"409","TCGA-BJ-A0ZF-01A"
"410","TCGA-H2-A421-01A"
"411","TCGA-DJ-A3V2-01A"
"412","TCGA-BJ-A0Z0-01A"
"413","TCGA-L6-A4ET-01A"
"414","TCGA-E8-A433-01A"
"415","TCGA-DJ-A1QH-01A"
"416","TCGA-FK-A3SD-01A"
"417","TCGA-EM-A3AJ-01A"
"418","TCGA-E3-A3E3-01A"
"419","TCGA-EM-A2CN-01A"
"420","TCGA-H2-A3RI-01A"
"421","TCGA-KS-A4I7-01A"
"422","TCGA-EM-A1YB-01A"
"423","TCGA-FK-A3S3-01A"
"424","TCGA-FE-A234-01A"
"425","TCGA-ET-A39J-01A"
"426","TCGA-BJ-A4O8-01A"
"427","TCGA-FY-A3I5-01B"
"428","TCGA-EM-A3FN-01A"
"429","TCGA-DJ-A3UW-01A"
"430","TCGA-DJ-A3UO-01A"
"431","TCGA-IM-A41Z-01A"
"432","TCGA-DJ-A2Q0-01A"
"433","TCGA-EL-A3CS-01A"
"434","TCGA-BJ-A290-01A"
"435","TCGA-ET-A39R-01A"
"436","TCGA-ET-A3DT-01A"
"437","TCGA-EL-A3GP-01A"
"438","TCGA-BJ-A3PU-01A"
"439","TCGA-ET-A39I-01A"
"440","TCGA-FK-A3SH-01A"
"441","TCGA-EM-A3AO-01A"
"442","TCGA-BJ-A28R-01A"
"443","TCGA-EL-A3T8-01A"
"444","TCGA-ET-A40R-01A"
"445","TCGA-L6-A4EQ-01A"
"446","TCGA-ET-A25I-01A"
"447","TCGA-KS-A41J-01A"
"448","TCGA-E8-A437-01A"
"449","TCGA-BJ-A45J-01A"
"450","TCGA-EM-A4FN-01A"
"451","TCGA-EM-A3OA-01A"
"452","TCGA-KS-A4IB-01A"
"453","TCGA-BJ-A291-01A"
"454","TCGA-DJ-A3UU-01A"
"455","TCGA-DJ-A2QA-01A"
"456","TCGA-ET-A25J-01A"
"457","TCGA-ET-A40S-01A"
"458","TCGA-EM-A3SX-01A"
"459","TCGA-ET-A3DP-01A"
"460","TCGA-FE-A23A-01A"
"461","TCGA-DJ-A2PN-01A"
"462","TCGA-H2-A2K9-01A"
"463","TCGA-J8-A3YH-01A"
"464","TCGA-DJ-A1QM-01A"
"465","TCGA-ET-A3DV-01A"
"466","TCGA-EL-A3GQ-01A"
"467","TCGA-EM-A3O6-01A"
"468","TCGA-FY-A3NP-01A"
"469","TCGA-EL-A3H3-01A"
"470","TCGA-MK-A84Z-01A"
"471","TCGA-DJ-A2Q7-01A"
"472","TCGA-EL-A3D6-01A"
"473","TCGA-BJ-A0ZG-01A"
"474","TCGA-ET-A3BN-01A"
"475","TCGA-BJ-A2P4-01A"
"476","TCGA-DJ-A4UW-01A"
"477","TCGA-DJ-A3UR-01A"
"478","TCGA-DJ-A2PR-01A"
"479","TCGA-ET-A3DU-01A"
"480","TCGA-DJ-A4V4-01A"
"481","TCGA-KS-A4I5-01A"
"482","TCGA-DE-A4MD-01A"
"483","TCGA-EM-A4FR-01A"
"484","TCGA-EM-A22J-01A"
"485","TCGA-DJ-A13R-01A"
"486","TCGA-FE-A3PC-01A"
"487","TCGA-DJ-A2PZ-01A"
"488","TCGA-EL-A3GU-01A"
"489","TCGA-IM-A3U3-01A"
"490","TCGA-ET-A39K-01A"
"491","TCGA-H2-A422-01A"
"492","TCGA-EM-A3FJ-01A"
"493","TCGA-EL-A3MY-01A"
"494","TCGA-E8-A414-01A"
"495","TCGA-DJ-A2Q8-01A"
"496","TCGA-DJ-A2PY-01A"
"497","TCGA-DJ-A1QG-01A"
"498","TCGA-EL-A3ZO-01A"
"499","TCGA-EL-A3CR-01A"
"500","TCGA-FY-A3R7-01A"
"501","TCGA-BJ-A192-01A"
"502","TCGA-FY-A4B0-01A"
"503","TCGA-EM-A4G1-01A"
"504","TCGA-ET-A2N1-01A"
"505","TCGA-ET-A2MX-01A"
"506","TCGA-DJ-A3UY-01A"
"507","TCGA-ET-A39L-01A"
